,county,dgCount,povPcnt,realMedInc,lfpr,lf_size,logMedInc,logLF
0,Richmond city,13.0,0.223,48747.0,0.9640967792649192,117557.0,10.794398936070886,11.674678601323267
1,Bedford County,11.0,0.104,61186.0,0.9689718816570988,38270.0,11.021673684161343,10.552421578419748
2,Henry County,7.0,0.2,36471.0,0.9623441103077118,23672.0,10.504272703223904,10.072048194080045
3,Norfolk city,7.0,0.197,48519.0,0.963055229113188,111338.0,10.789710752787888,11.620325898579935
4,Virginia Beach city,6.0,0.075,76520.0,0.97083406207441,232337.0,11.24530742355419,12.355944182872543
5,Franklin County,6.0,0.153,53522.0,0.9687204534465598,26182.0,10.88784806331167,10.172827430740044
6,Suffolk city,5.0,0.109,69753.0,0.9672328663517598,44502.0,11.152715709511364,10.703289410964613
7,Pittsylvania County,5.0,0.164,44710.0,0.964024863038134,30488.0,10.707952469228026,10.325088442553696
8,Halifax County,5.0,0.145,43096.0,0.9584243932203024,15154.0,10.67118546436037,9.626019802491319
9,Scott County,5.0,0.185,40161.0,0.9669176714269346,9100.0,10.600651654454007,9.116029692504942
10,Tazewell County,5.0,0.182,42074.0,0.9552765805631908,15911.0,10.647185251693974,9.674765972907856
11,Chesapeake city,5.0,0.085,78846.0,0.9692122054071096,122298.0,11.275251861871693,11.714215968311786
12,Washington County,5.0,0.152,45510.0,0.9656757914687776,26663.0,10.725687361010687,10.191032115533917
13,Smyth County,5.0,0.204,40972.0,0.9596074786040738,13661.0,10.620644185556426,9.522300336887486
14,Danville city,5.0,0.256,36015.0,0.9485865679190634,19576.0,10.491690797323463,9.882059605122508
15,Lee County,5.0,0.248,34796.0,0.9583015778106376,8308.0,10.457257716627431,9.024974184996003
16,Portsmouth city,5.0,0.192,47343.0,0.958525807536726,44163.0,10.765174252416243,10.695642613426124
17,Louisa County,4.0,0.113,63714.0,0.9717367027607698,19758.0,11.0621595976319,9.89131375160442
18,Fredericksburg city,4.0,0.145,58448.0,0.964744220103675,13964.0,10.975892749035063,9.544237868224927
19,Henrico County,4.0,0.09,68581.0,0.9695373115297292,180763.0,11.135770807421247,12.10494205997966
20,Isle of Wight County,4.0,0.092,72993.0,0.9699048588999832,19348.0,11.19811882512179,9.870344333942874
21,Montgomery County,4.0,0.241,52538.0,0.970061300792312,49859.0,10.869291996279744,10.816954300719182
22,Rockingham County,4.0,0.087,61375.0,0.9728952787888296,41081.0,11.024757865096822,10.623301006492076
23,Roanoke city,4.0,0.202,42715.0,0.9671448645680804,48878.0,10.66230542558572,10.797082676478094
24,Mecklenburg County,4.0,0.187,44832.0,0.9587713667517628,12668.0,10.710677449136734,9.44683440765853
25,Augusta County,4.0,0.09,60556.0,0.9724428530646602,36796.0,11.011323835731769,10.513144422597048
26,Botetourt County,4.0,0.074,71874.0,0.9727210979380192,17282.0,11.182669864959387,9.757420776401345
27,Bristol city,4.0,0.205,36903.0,0.9617721300778628,7178.0,10.516048127536894,8.878776071707552
28,Charlotte County,4.0,0.193,41382.0,0.9627822103060504,5209.0,10.630601282659347,8.558143177745192
29,Page County,3.0,0.139,49073.0,0.9575432896431776,11893.0,10.801064264366158,9.383705270727246
30,Nelson County,3.0,0.123,56690.0,0.9684864618506884,7318.0,10.945353107318349,8.898092345579153
31,Newport News city,3.0,0.152,50283.0,0.9630940866521284,88574.0,10.825422326795367,11.391593639802597
32,Westmoreland County,3.0,0.164,51414.0,0.9627533547858288,9371.0,10.847665787897174,9.145375093123823
33,Orange County,3.0,0.094,63681.0,0.9693465520832166,17013.0,11.061641523912554,9.741733036682138
34,Hanover County,3.0,0.052,91028.0,0.9734712844120806,58777.0,11.418922430479109,10.981505900902489
35,Hampton city,3.0,0.154,54763.0,0.9588653382003616,64262.0,10.910770062416013,11.070723755746057
36,Dinwiddie County,3.0,0.125,57257.0,0.9644513080669848,13550.0,10.955305184684386,9.514141826307847
37,Giles County,3.0,0.124,50591.0,0.9659829875867962,7836.0,10.831528973842945,8.966483779064431
38,Campbell County,3.0,0.113,51525.0,0.965699297911228,25890.0,10.84982240575866,10.161612072745584
39,Prince George County,3.0,0.089,68133.0,0.9631252820214256,14986.0,11.129216956263702,9.614871710924255
40,Chesterfield County,3.0,0.076,80734.0,0.9702686837710232,186120.0,11.29891507903724,12.134146905958584
41,Shenandoah County,3.0,0.104,55283.0,0.9710720311624664,22169.0,10.92022072614414,10.006450195593953
42,Patrick County,2.0,0.155,42862.0,0.9608209162189641,7435.0,10.665740931494621,8.913953858894255
43,Martinsville city,2.0,0.247,33892.0,0.9534449949894336,5470.0,10.430934277318356,8.607033895416027
44,Middlesex County,2.0,0.127,54871.0,0.9726202755103096,5230.0,10.912740254782156,8.56216655705897
45,Wythe County,2.0,0.154,46345.0,0.9621825290988436,13726.0,10.743868690309933,9.52704712346858
46,Williamsburg city,2.0,0.23,52845.0,0.9589878246327352,6673.0,10.875118379443448,8.805824812903607
47,New Kent County,2.0,0.052,90858.0,0.9724644349919268,12396.0,11.41705312718471,9.42512911890764
48,Radford city,2.0,0.304,39254.0,0.9614649136066848,8615.0,10.577808628846025,9.06126014896203
49,Southampton County,2.0,0.147,52741.0,0.9717109886193058,9029.0,10.873148420667984,9.10819689830748
50,Petersburg city,2.0,0.241,37049.0,0.9376975282103736,12989.0,10.519996639806674,9.471858124407284
51,Northumberland County,2.0,0.148,55418.0,0.9549316930061296,5540.0,10.922659729710926,8.61974977974133
52,Spotsylvania County,2.0,0.075,86695.0,0.9688770923531924,66152.0,11.370151490978774,11.099710403402003
53,Russell County,2.0,0.215,38966.0,0.956766102504742,11186.0,10.570444750005832,9.322418275381533
54,Surry County,2.0,0.129,54663.0,0.965295194120948,3750.0,10.908942342717989,8.229511118964457
55,Accomack County,2.0,0.173,42879.0,0.9611500659727404,16747.0,10.666137474577225,9.725974416734479
56,Harrisonburg city,2.0,0.28,42640.0,0.96452485218795,24556.0,10.660548058839726,10.108711502547386
57,Buchanan County,2.0,0.276,32144.0,0.9447207708532503,6928.0,10.377981087054716,8.843326450242271
58,Fauquier County,2.0,0.061,93462.0,0.973479565580016,36682.0,11.445310215554661,10.510041450510977
59,Fluvanna County,2.0,0.069,73463.0,0.9745543203671936,13667.0,11.20453715709138,9.5227394469648
60,Fairfax County,2.0,0.061,122035.0,0.9750665820970408,626912.0,11.712063167817591,13.348561458887758
61,Emporia city,2.0,0.207,36908.0,0.9518137967448748,2333.0,10.516183608698446,7.75491027202143
62,Frederick County,2.0,0.07,77684.0,0.9735157497643282,47351.0,11.260404594945342,10.765343217715396
63,Carroll County,2.0,0.157,41517.0,0.9633454246797324,13289.0,10.63385826089404,9.494691904331507
64,Buckingham County,2.0,0.202,45889.0,0.9546959057076198,6312.0,10.733980715911525,8.750207862525711
65,Floyd County,2.0,0.123,48315.0,0.9722866636776156,8108.0,10.78549735043341,9.000606507571892
66,Brunswick County,1.0,0.225,41803.0,0.9498309622924288,6000.0,10.640723386272409,8.699514748210191
67,Bath County,1.0,0.107,50564.0,0.9749032586622736,2513.0,10.830995139615448,7.829232537543592
68,Amherst County,1.0,0.13,50580.0,0.9665448270558828,14944.0,10.831311520223956,9.612065160468624
69,Wise County,1.0,0.254,38045.0,0.9499016319095219,13209.0,10.546524948610623,9.488653694423864
70,Rockbridge County,1.0,0.12,53413.0,0.9695612308776724,10567.0,10.885809441013075,9.265491216441031
71,Winchester city,1.0,0.153,51456.0,0.969829139208084,14543.0,10.848482352538639,9.58486505717771
72,Appomattox County,1.0,0.135,51131.0,0.9628970552332224,7119.0,10.842146245872229,8.870522545103873
73,Dickenson County,1.0,0.252,35047.0,0.9478950600524688,4522.0,10.464445296788119,8.416709652837914
74,Cumberland County,1.0,0.157,46300.0,0.9669153052479668,4648.0,10.742897240074326,8.444192298531748
75,Sussex County,1.0,0.229,43031.0,0.9496629295217124,3761.0,10.66967606516289,8.232440158470336
76,Culpeper County,1.0,0.087,72111.0,0.9707809513180816,24278.0,11.185961877516771,10.097325869457748
77,Waynesboro city,1.0,0.151,47117.0,0.9672451214098592,10519.0,10.760389149066027,9.260938424739274
78,Stafford County,1.0,0.054,108421.0,0.9699696006935544,71132.0,11.593777076162313,11.172292584863552
79,Caroline County,1.0,0.097,67335.0,0.964699644244836,15145.0,11.117435439884142,9.625425723461337
80,Roanoke County,1.0,0.067,68734.0,0.9723717990286724,49066.0,11.137999261170897,10.800921609559978
81,Bland County,1.0,0.141,47681.0,0.9679378238519164,2833.0,10.77228827467366,7.949091499830517
82,Manassas city,1.0,0.084,79141.0,0.9726283349145732,21769.0,11.278986350694813,9.988242218400936
83,York County,1.0,0.055,86317.0,0.9716537119792984,32655.0,11.365781844925843,10.393753262336757
84,Madison County,1.0,0.101,60450.0,0.9752030317520513,7272.0,11.009571856042939,8.891786635857315
85,Norton city,1.0,0.208,34442.0,0.9597559181807233,1665.0,10.447032028864845,7.417580402414544
86,Mathews County,1.0,0.093,61764.0,0.9696046929342876,4122.0,11.031075949440755,8.324093761450404
87,Lynchburg city,1.0,0.208,43200.0,0.9592012877788446,36249.0,10.673595774232203,10.498167073695418
88,Alexandria city,1.0,0.101,99425.0,0.9769669124000999,99978.0,11.507158870075891,11.512705440766679
89,Lancaster County,1.0,0.123,52814.0,0.955961301278113,5292.0,10.874531586063053,8.573951525234847
90,King and Queen County,1.0,0.122,51124.0,0.9690951730800602,3851.0,10.842009333251605,8.25608813381491
91,King William County,1.0,0.073,68724.0,0.9700653465790336,9082.0,11.137853762181857,9.114049711657897
92,King George County,1.0,0.068,86619.0,0.9700114330367656,13194.0,11.369274470024074,9.487517459782817
93,Hopewell city,1.0,0.197,42568.0,0.9513306437926364,9648.0,10.658858076276205,9.174505918966966
94,Highland County,1.0,0.127,45089.0,0.9718427357485172,1255.0,10.716393593302708,7.134890851565884
95,Nottoway County,1.0,0.224,46368.0,0.9688061243356588,7211.0,10.744364845120408,8.88336291691676
96,Pulaski County,1.0,0.146,50834.0,0.964886124119256,15972.0,10.836320701029594,9.678592468183112
97,Greensville County,1.0,0.267,43533.0,0.9628855011450776,4372.0,10.681274550159202,8.382975849296429
98,Grayson County,1.0,0.184,37550.0,0.9690918765682576,7667.0,10.53342865719228,8.944680683558895
99,Gloucester County,1.0,0.091,70938.0,0.9726470105227678,19481.0,11.169561535091168,9.877194910581204
100,Galax city,1.0,0.217,36571.0,0.9650670719745243,2929.0,10.50701085558772,7.982416346827733
101,Poquoson city,1.0,0.051,96057.0,0.9728451641257608,6361.0,11.472697044250184,8.757940876678804
102,Prince Edward County,1.0,0.2,48450.0,0.961020918357388,10402.0,10.788287617318913,9.249753374333018
103,Prince William County,1.0,0.064,106200.0,0.972110025692494,242476.0,11.573079387789976,12.398658015389747
104,Franklin city,0.0,0.183,37327.0,0.9556715979261132,3589.0,10.527472204361002,8.185628891147607
105,Fairfax city,0.0,0.076,105532.0,0.9768217553550338,13271.0,11.56676950344234,9.493336482437249
106,Richmond County,0.0,0.159,49399.0,0.9685011602157526,4050.0,10.807685460056144,8.306472160100585
